FID;field_1;field_2;x;y
0;304353.481211295;4601075.59967817;304353;4601080
1;308690.38630532;4607448.21330435;308690;4607450
2;290001.652683605;4600369.03846082;290002;4600370
3;307375.429099222;4608135.72611731;307375;4608140
4;301578.697681546;4612650.8862023;301579;4612650
5;313068.70300459;4623176.09607899;313069;4623180
6;310270.753741683;4606601.47167466;310271;4606600
7;315255.235213163;4625808.80126424;315255;4625810
8;309081.388858428;4617968.1790606;309081;4617970
9;309218.58848124;4618238.14007005;309219;4618240
10;311040.004134858;4621312.95868801;311040;4621310
11;305957.344449788;4613670.80627211;305957;4613670
12;308363.593036466;4617290.92888369;308364;4617290
13;288198.207238104;4601613.45926229;288198;4601610
14;309164.679611507;4615658.34823337;309165;4615660
15;313418.919958218;4610963.92841698;313419;4610960
16;292595.739339828;4601852.50251382;292596;4601850
17;285861.558474401;4609583.84322874;285862;4609580
18;289752.511224265;4599657.05073811;289752;4599660
19;306573.681314585;4616585.2493676;306574;4616580
20;314914.09561468;4604164.96587323;314914;4604160
21;302124.75227573;4602159.35935555;302125;4602160
22;307695.314458284;4617075.89761625;307695;4617080
23;279416.876804206;4590154.10563239;279417;4590150
24;293408.030149041;4607493.68719269;293408;4607490
25;315462.117705329;4622595.89297248;315462;4622600
26;292493.080728521;4606100.42161698;292493;4606100
27;300431.422248986;4595799.34215683;300431;4595800
28;302335.363824803;4600111.13922036;302335;4600110
29;289059.951188402;4597892.46097169;289060;4597890
30;302294.205162824;4591792.37972793;302294;4591790
31;288986.882527236;4597715.82318852;288987;4597720
32;297410.144511733;4606574.41414178;297410;4606570
33;315814.832546086;4623070.34944826;315815;4623070
34;304249.429893278;4601077.29115822;304249;4601080
35;282041.490479952;4592101.9816684;282042;4592100
36;310980.239462046;4606200.69135468;310980;4606200
37;289503.052142253;4598782.80076838;289503;4598780
38;288040.439077035;4599616.58955559;288040;4599620
39;309184.112584538;4618149.36516229;309184;4618150
40;315665.586697959;4626076.13454254;315666;4626080
41;306650.283576232;4616656.72175244;306650;4616660
42;314959.858746182;4625428.47535891;314960;4625430
43;306242.606711553;4616206.26071295;306243;4616210
44;305450.68805318;4610022.70252362;305451;4610020
45;303724.482789279;4621878.45753457;303724;4621880
46;297006.449486534;4606255.23040892;297006;4606260
47;298050.320049996;4591164.05031921;298050;4591160
48;304772.853533322;4613659.03368022;304773;4613660
49;289010.083767811;4597806.69383896;289010;4597810
50;280896.004927895;4593675.99814636;280896;4593680
51;301948.300485989;4606075.86233621;301948;4606080
52;317779.043075111;4625009.78037823;317779;4625010
53;315752.097622488;4603627.32209178;315752;4603630
54;313670.897773992;4604727.80525057;313671;4604730
55;316964.612529767;4610715.54444507;316965;4610720
56;312966.169741071;4605253.71249537;312966;4605250
57;313656.498837989;4611760.33438772;313656;4611760
58;302185.250150505;4607942.41309604;302185;4607940
59;296196.884137132;4605659.88300004;296197;4605660
60;308831.805306928;4611190.36016511;308832;4611190
61;313760.227020708;4611831.4342132;313760;4611830
62;309129.664228198;4607219.36535351;309130;4607220
63;310489.354887712;4610886.03089396;310489;4610890
64;313345.777047584;4597331.92221959;313346;4597330
65;305710.20759104;4615362.68837873;305710;4615360
66;309492.581669194;4619392.23677407;309493;4619390
67;305463.945050087;4614934.16095837;305464;4614930
68;300944.071426771;4596856.70807981;300944;4596860
69;304734.433805129;4613574.00180927;304734;4613570
70;283043.899108834;4592850.21970459;283044;4592850
71;291840.481835709;4616697.65194539;291840;4616700
72;315079.359077258;4622065.70148983;315079;4622070
73;306413.377899696;4616404.86566189;306413;4616400
74;299855.426748109;4595243.08298492;299855;4595240
75;288582.017720391;4624424.28657982;288582;4624420
76;290950.700289332;4602406.47655132;290951;4602410
77;312369.711672908;4611006.29715226;312370;4611010
78;313621.67949152;4604943.19190696;313622;4604940
79;306276.843296934;4616246.71245406;306277;4616250
80;311038.001267435;4622829.13811873;311038;4622830
81;289077.3463033;4620377.02130763;289077;4620380
82;310712.248471397;4622917.69078667;310712;4622920
83;312604.733809194;4599832.76142297;312605;4599830
84;296598.618259232;4605951.4987629;296599;4605950
85;305599.430406328;4615208.86751461;305599;4615210
86;311321.062573284;4622635.61052109;311321;4622640
87;309232.850327823;4618283.87024453;309233;4618280
88;280210.535185363;4590662.31797192;280211;4590660
89;301791.3274365;4605215.20400824;301791;4605220
90;292171.826589686;4602964.2583128;292172;4602960
91;289889.049161512;4619504.35414954;289889;4619500
92;301093.931650992;4613342.1769591;301094;4613340
