"from";"to";"distance";"intensity";"imd2015"
1;2;14,7648230602334;0;7052
4;5;6,40312423743285;0;6891
8;9;6,40312423743285;0;16108
16;17;7,07106781186548;0;14070
25;26;10,4403065089106;0;3936
27;28;5;0,000542096099616681;1360
33;34;36,6742416417845;0;615
35;36;36,7695526217005;0;419
37;38;26;0;3936
39;40;22,4722050542442;0;3936
41;42;153,847326918605;0,00292944487742854;9722
44;45;11,7046999107196;0;821
47;48;8,60232526704263;0;36909
51;52;5,65685424949238;0;6891
53;54;5;0;16108
55;56;6,40312423743285;0;16108
57;58;7,07106781186548;0;16108
33;61;426,854776241288;0,00125955430919668;107
62;63;403,435248831829;0,00137681082548672;9722
63;64;552,090572279585;0,00201895686148264;9722
64;65;407,806326581626;0,000903093168875291;9722
65;66;2615,41430752376;0,0386937025648394;9722
67;68;1819,52438840484;1,97868702527798e-35;155
68;69;513,655526593455;2,61849983846143e-32;155
69;70;309,103542522566;7,24633879658829e-30;155
70;71;373,373807329866;1,38337857867403e-27;155
71;72;318,446227799922;1,45653437155496e-26;155
72;73;300,466304267217;2,53960735289539e-24;155
73;74;641,613590878498;3,90389079219014e-21;155
75;76;567,017636410015;4,68295093328704e-16;155
76;77;744,280860965805;5,29953058982212e-13;155
77;78;1237,93093506867;5,8605659083988e-09;155
78;79;1172,79580490382;5,72520297760428e-06;155
79;80;729,605372787235;9,68371011060656e-05;155
80;81;1222,15874582642;0,00253069933442379;155
81;82;999,78397666696;0,00550379851224101;155
83;84;743,306800722286;0,00395579071906214;7052
86;87;759,718368870992;0,00203011689619495;6407
87;88;332,537215962364;0,00136796216403643;6407
63;89;3724,57205595488;0,0127068890892924;356
89;90;2257,07000334504;0,00675839555864331;356
90;91;1153,530233674;0,00717533660795224;356
92;93;1927,99014520303;0,00772481891623607;6583
93;94;4919,71635361227;0,0496997577135868;6583
96;97;162,606887922991;0,00196274347953438;821
3;98;2647,19700815787;0,0476515615203009;24772
99;100;786,130396308399;0,0207739268659727;7052
92;100;1513,20223367533;0,0143449106238113;7052
92;101;780,52610462431;0,00164043783337266;7052
84;101;1553,29971351314;0,0068562391148936;7052
2;84;447,754396963335;0,00349739394044863;7052
43;102;365,789556985981;0,00155434203849102;8374
99;103;2045,71796687618;0,0553740896247472;8374
104;105;917,767399726096;0,00914212980138987;732
7;105;1597,79911127776;0,00786941175744784;732
53;56;746,160840569914;0,0119496928078678;16108
107;108;635,625676007507;0,00151094399796345;419
108;109;641,726577289736;0,00329141518586397;419
35;110;80,156097709407;0,0012223006940332;419
8;114;78,8162419809521;0;818
115;116;700,52337576986;0,00528605750676834;5767
116;117;527,231448227436;0,00449866618820958;5767
117;118;1208,90239473665;0,0143213070306005;5767
118;119;752,606138694072;0,0102490401326163;5767
119;120;896,644857231669;0,00657171081898419;5767
120;121;1573,69628581884;0,012125301544293;5767
121;122;795,201232393411;0,00681995370908807;5767
122;123;2322,92660237038;0,0428978127233742;5767
123;124;1769,88841456178;0,0332163555708008;5767
124;125;869,143256316242;0,0115799224253818;5767
125;126;772,859625029022;0,0129650877827116;5767
126;127;1366,84637029916;0,0227699771626216;5767
127;128;1742,1219819519;0,0322751733779268;5767
50;128;1567,4188974234;0,0330489462803438;5767
55;129;1367,20517845713;0,0318562107641248;35374
10;129;1356,20426190158;0,0255005061869527;35374
130;131;562,409103767;0,000373713731331222;548
131;132;401,639141518851;0,00121571474280481;548
134;135;471,62061023666;0,00179418655647857;771
135;136;904,191351429552;0,000801300230410361;771
138;139;1688,97128453979;0,0068164963888728;8312
139;140;2394,44711781238;0,0297052527604802;8312
140;141;1590,52318436419;0,0346322669215107;8312
142;143;864,257484781011;0,0128897561924942;7390
145;146;2713,3278460223;0,0348428086224643;7390
148;149;937,192616274798;0,00510062404731566;7390
