id;xcoord;ycoord
1;306126;4608701
2;306113;4608708
3;308384;4611254
4;306449;4612539
5;306445;4612544
6;288014;4621663
7;286108;4624153
8;310080;4610753
9;310076;4610748
10;315924;4611799
11;315940;4611791
12;286069;4624170
13;289302;4601176
14;301441;4602706
15;300250;4618168
16;291290;4603143
17;291291;4603150
18;285213;4623780
19;288805;4620034
20;310177;4606660
21;287662;4622087
22;288537;4601724
23;290632;4602893
24;312455;4611103
25;302632;4615194
26;302629;4615204
27;313304;4596284
28;313304;4596289
29;313482;4596447
30;311376;4618049
31;311700;4618319
32;312934;4619725
33;297751;4600610
34;297718;4600626
35;281795;4595093
36;281821;4595119
37;303077;4619102
38;303103;4619102
39;303988;4623128
40;303976;4623109
41;314046;4604703
42;314183;4604633
43;302033;4608545
44;288029;4621613
45;288018;4621617
46;297281;4613420
47;300815;4615085
48;300810;4615078
49;286060;4624168
50;301610;4603634
51;309850;4616380
52;309854;4616384
53;312646;4611326
54;312650;4611329
55;313358;4611541
56;313362;4611536
57;305451;4610023
58;305456;4610028
59;299024;4599677
60;298517;4599992
61;298108;4600376
62;318367;4601166
63;318301;4601564
64;318253;4602114
65;317938;4602373
66;315672;4603679
67;309880;4588082
68;310330;4589845
69;310731;4590166
70;310695;4590473
71;311067;4590505
72;310895;4590773
73;311121;4590971
74;311759;4591039
75;311756;4591392
76;311278;4591697
77;311753;4592270
78;311461;4593473
79;310870;4594486
80;311500;4594854
81;312194;4595860
82;313122;4596232
83;305156;4608134
84;305873;4608330
85;306580;4608610
86;307597;4609962
87;308313;4610216
88;308354;4610546
89;315300;4599358
90;314186;4597395
91;313472;4596489
92;303787;4607401
93;304776;4605746
94;308648;4602711
95;312139;4600377
96;297523;4613234
97;297398;4613338
98;311018;4611518
99;301947;4606059
100;302482;4606635
101;304377;4607912
102;301714;4608724
103;302208;4608088
104;288163;4622793
105;287559;4623484
106;279456;4593137
107;280187;4593409
108;280789;4593613
109;281131;4594156
110;281743;4595032
111;311430;4609648
112;310956;4610113
113;310430;4610413
114;310126;4610689
115;298299;4588898
116;298021;4589541
117;298179;4590044
118;298041;4591245
119;297645;4591885
120;297679;4592781
121;298557;4594087
122;299264;4594451
123;300766;4596223
124;301369;4597887
125;301430;4598754
126;302054;4599210
127;302579;4600472
128;302129;4602155
129;314603;4612106
130;312013;4603490
131;311673;4603042
132;311390;4602757
133;311036;4601697
134;301411;4603436
135;301096;4603787
136;300735;4604616
137;300387;4605131
138;313180;4619960
139;314400;4621128
140;315809;4623064
141;317179;4623872
142;289895;4601721
143;290716;4601991
144;292577;4601676
145;294212;4601515
146;296910;4601803
147;297767;4602116
148;299607;4603065
149;300544;4603046
150;300764;4605433
151;301136;4605765
152;301131;4605760
153;299299;4627463
154;299126;4626294
155;299254;4624195
156;299653;4623112
157;299908;4619604
158;301149;4613115
159;301690;4612586
160;290150;4601358
161;290091;4600530
162;288923;4597527
163;288214;4597153
164;287857;4596502
165;286753;4595612
166;284276;4593856
167;286986;4587686
168;286584;4588502
169;286682;4589587
170;286344;4590368
171;284046;4593032
172;283512;4593148
173;283128;4593871
174;281560;4595928
175;305626;4587712
176;305556;4588388
177;305168;4588725
178;303247;4589923
179;303308;4590564
180;301628;4592958
181;301651;4594040
182;301152;4594716
183;312205;4604016
184;312412;4604235
185;312896;4604552
186;313692;4604729
187;303608;4611799
188;304213;4612459
189;305014;4614306
190;306636;4616644
191;307131;4617021
192;308254;4617230
193;309045;4617920
194;309480;4619371
195;310885;4621010
196;311580;4622248
197;311819;4622765
198;312934;4623096
199;313807;4623814
200;315121;4625658
201;316105;4626453
202;316527;4627056
203;316524;4627463
204;304111;4614969
205;305875;4613785
206;306449;4612547
207;312355;4611005
208;315621;4611098
209;316160;4610744
210;283738;4626040
211;285506;4622491
212;285908;4621868
213;290699;4618479
214;294863;4614652
215;284452;4626171
216;298858;4614649
217;294132;4615188
218;293837;4615733
219;292273;4616426
220;291308;4617980
221;316800;4611523
222;302621;4619192
223;302365;4619658
224;302308;4620114
225;302136;4620387
226;306093;4609409
227;306574;4608613
228;306535;4608627
229;283867;4598152
230;286446;4598856
231;288201;4599693
232;279420;4590157
233;278892;4589397
234;310824;4599185
235;312027;4597940
236;313305;4597408
237;316351;4598197
238;292214;4627463
239;283271;4593525
240;282315;4593668
241;281644;4593859
242;281136;4593813
243;290532;4602767
244;302478;4606770
245;302461;4606686
246;302865;4607407
247;303117;4607712
248;310112;4610782
249;286392;4601520
250;301416;4603456
251;301616;4602950
252;301838;4602722
253;290991;4603810
254;292628;4606400
255;292588;4601177
256;292580;4601669
257;292573;4602056
258;292434;4602399
259;292203;4602897
260;291958;4603421
261;313016;4588376
262;312095;4588983
263;311770;4589457
264;311762;4590177
265;292953;4604204
266;293644;4604014
267;294122;4604590
268;295987;4605507
269;298149;4607138
270;313119;4619901
271;305262;4611140
272;307617;4613724
273;308406;4614991
274;310907;4616896
275;313438;4619570
276;303988;4623157
277;303983;4623128
278;304013;4623147
279;303129;4619192
280;303397;4619723
281;303459;4620027
282;303610;4620592
283;303648;4621160
284;303698;4621580
285;303725;4621972
286;303733;4622852
287;303121;4619177
288;303119;4619038
289;303133;4619140
290;303299;4618671
291;303304;4618572
292;303307;4618583
293;303079;4618193
294;303035;4618088
295;303080;4618154
296;303227;4618362
297;302621;4615355
298;302621;4615235
299;302627;4615343
300;302656;4616124
301;302691;4616469
302;302828;4616901
303;302927;4617286
304;303032;4618074
305;302675;4615082
306;302648;4615175
307;302625;4615219
308;302765;4614739
309;302946;4614154
310;303058;4613762
311;303060;4613351
312;303067;4612890
313;303129;4612105
314;303062;4611690
315;302710;4611128
316;302476;4610883
317;302615;4611001
318;302710;4611081
319;312948;4599402
320;313218;4596873
321;305153;4624684
322;305754;4624337
323;306691;4623252
324;309092;4623349
325;311086;4622811
326;311836;4621868
327;310092;4616765
328;310480;4617227
329;311202;4617913
330;311580;4618215
331;312275;4618737
332;312503;4619149
333;312753;4619553
334;307580;4601558
335;307195;4599012
336;306532;4597580
337;305755;4596994
338;306077;4596249
339;305869;4595645
340;306575;4594206
341;307073;4593145
342;291579;4607874
343;286961;4609452
344;286545;4609370
345;284507;4610036
346;284289;4610525
347;283574;4610315
348;283122;4610532
349;318092;4615811
350;318033;4615424
351;317827;4614958
352;317622;4614471
353;317435;4614146
354;316950;4613368
355;316333;4612378
356;316177;4612057
357;315953;4611812
358;315633;4611158
359;298815;4604194
360;298734;4604154
361;298805;4604185
362;299169;4604527
363;300249;4604946
364;298098;4603942
365;297620;4603642
366;297640;4602930
367;297745;4602231
368;297844;4600935
369;297246;4599690
370;296721;4599390
371;296902;4598934
372;296739;4598091
373;296468;4597383
374;296360;4596786
375;296341;4596172
376;296307;4595088
377;296345;4594269
378;296706;4593259
379;296599;4592919
380;296280;4592661
381;296008;4592096
382;296036;4590759
383;296373;4590280
384;296791;4589827
385;297060;4588953
386;297068;4588513
387;297053;4588133
388;304183;4601083
389;307566;4601561
390;308326;4601207
391;309398;4600078
392;293869;4608365
393;295118;4609264
394;295826;4610277
395;296304;4612350
396;283301;4593545
397;314538;4596998
398;318129;4596413
399;318486;4601129
400;298071;4587647
401;318486;4626377
402;305840;4587647
403;318486;4610888
404;318486;4611597
405;318486;4602542
406;318486;4597925
407;313027;4587647
408;297051;4587647
409;318486;4596627
410;310886;4601397
